"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/e5b8aef5-e35e-4b31-b284-b0f0bb75ea2d-1024x1024.jpg","image/jpeg","169702","1","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110021710-1024x1024.png","image/png","48191","89","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/barbequecookout-scaled-1024x858.jpeg","image/jpeg","135694","1","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/logo.png","image/png","41070","267","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/logo-1024x777.png","image/png","31617","89","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110021434.png","image/png","5991","89","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/new-certificate-image-comp.png","image/png","351829","1","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/ChatGPT-Image-Feb-28_-2026_-01_17_51-AM.png","image/png","142259","1","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/VTS-Donation-page-Teaching-photo.png","image/png","226201","1","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110014158.jpg","image/jpeg","73863","2","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110051717-1024x768.jpg","image/jpeg","94318","3","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/05/525b7d075e19c0e5d4ffd6721c124a81-95b03Z.tmp_.jpg","image/jpeg","290985","12","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/04/3de140015e81cb41560493513fd4118a-y2yG8j.tmp_.jpg","image/jpeg","499493","11","Indexable","",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/05/4a6e4dd884c09ccbdad46e8f34a386c9-e07eSl.tmp_.jpg","image/jpeg","294260","45","Indexable","",""
