"Address","Word Count","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/no-cost-coursera/","153","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","148","Indexable",""
"https://veteranstransitionsupport.org/financials/","110","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","133","Indexable",""
"https://veteranstransitionsupport.org/board-members/","43","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","80","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","167","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","20","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","137","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","143","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","73","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","41","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","103","Indexable",""
"https://veteranstransitionsupport.org/gallery/","10","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","11","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","9","Indexable",""
