"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://veteranstransitionsupport.org/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://veteranstransitionsupport.org/","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.35.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=6.6.4","application/javascript","200","OK","1.1","Indexable","","","",""
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.4","text/css","200","OK","1.1","Indexable","","","",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778717446","text/css","200","OK","1.1","Indexable","","","",""
"https://veteranstransitionsupport.org/donate/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://veteranstransitionsupport.org/donate/","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",""
"https://veteranstransitionsupport.org/about-us/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://veteranstransitionsupport.org/about-us/","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",""
"https://veteranstransitionsupport.org/no-cost-coursera/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://veteranstransitionsupport.org/no-cost-coursera/","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=4.0.8","text/css","200","OK","1.1","Indexable","","","",""
